Total Operating Hours,Total Employees,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,Cluster_DBSCAN,Cluster_GMM,Cluster_Spectral,Cluster_KMeans
0.0,720.0,636.0,10425437.0,969466.0,396.0,722.55,1366576.0,243950.0,0.0,0.0,0.0,0.0,0.0,3053309.0,1610526.0,3053309.0,-1,0,5,4
0.0,736.0,1248.0,11593258.0,1237843.0,1366.0,573.27,947760.0,541268.0,0.0,1350231.0,0.0,0.0,815770.0,29225.0,2839259.0,844995.0,0,3,6,0
0.0,736.0,288.0,6586801.0,906752.0,110.0,1636.83,0.0,779700.0,0.0,1127412.0,0.0,0.0,0.0,527196.0,1907112.0,527196.0,-1,3,6,4
0.0,666.0,1272.0,7816455.0,621956.0,459.0,714.1,524414.0,196088.0,0.0,1322148.0,0.0,0.0,0.0,6026.0,2042650.0,6026.0,0,3,6,0
0.0,691.0,412.0,12452795.0,713777.0,144.0,1284.83,2066738.0,139256.0,0.0,0.0,0.0,0.0,0.0,17737.0,2205994.0,17737.0,0,3,1,0
0.0,721.15,2405.0,13728800.0,806655.0,256.0,982.52,2133600.0,256481.0,4237.0,0.0,90450.0,0.0,0.0,0.0,2484768.0,0.0,0,0,1,0
0.0,606.0,26.0,299899.0,8804190.0,372.0,3248.12,4840205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4840205.0,0.0,-1,3,1,0
0.0,772.01,1116.0,10296150.0,459007.0,248.0,171.67,1442315.0,160768.0,260.0,0.0,0.0,0.0,0.0,253079.0,1603343.0,253079.0,0,0,5,0
0.0,731.0,1248.0,9860381.0,765551.0,97.0,513.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,0
0.0,570.0,1200.0,8941324.0,736150.0,288.0,400.86,1409286.0,151267.0,0.0,0.0,0.0,0.0,0.0,141567.0,1560553.0,141567.0,0,0,5,0
0.0,592.5,735.0,8925100.0,405813.0,640.0,205.46,27126.0,183820.0,684856.0,697162.0,0.0,0.0,0.0,0.0,1592964.0,0.0,-1,1,3,6
0.0,746.5,44.0,687843.0,263851.0,2100.0,341.28,3434859.0,10518.0,0.0,0.0,0.0,0.0,0.0,0.0,3445377.0,0.0,0,3,4,0
0.0,535.54,2352.0,13614253.0,879939.0,350.0,1746.9,615453.0,382721.0,0.0,2005956.0,0.0,0.0,0.0,195495.0,3004130.0,195495.0,0,3,6,0
0.0,515.0,501.0,7598072.0,772374.0,234.0,255.88,0.0,13261.0,0.0,1950845.0,0.0,0.0,301977.0,0.0,1964106.0,301977.0,0,3,6,0
0.0,556.0,214.0,2901739.0,1176968.0,198.0,763.6,900501.0,70805.0,0.0,0.0,0.0,0.0,0.0,0.0,971306.0,0.0,0,0,1,0
0.0,503.0,642.0,5989368.0,641357.0,510.0,180.53,363055.0,199309.0,0.0,752372.0,0.0,0.0,0.0,0.0,1314736.0,0.0,0,0,6,0
0.0,529.55,1910.0,9841274.0,575963.0,292.0,982.52,87965.0,460066.0,0.0,1086738.0,0.0,0.0,0.0,236326.0,1634769.0,236326.0,0,3,6,0
